Stock Symbol,Beta,Dividend Yield,EPS (TTM),Ex-Dividend Date,Latest Dividend,Market Value,P/E Ratio (TTM),Percent of Float,Shares Outstanding,Short Interest,Short Interest Change,Volume
DMW,0.23,1.12%,₱0.62,27-Mar-23,₱0.07,₱22.75B,10.74,,,N/A (),,28.9K
DNA,0.58,,-₱0.100,,,,,,,N/A (),,
DNL,0.59,3.08%,₱0.46,16-Jun-22,₱0.19,₱55.36B,16.75,,,N/A (),,2.09M
DWC,0.41,,-₱0.058,,,₱1.17B,,,,N/A (),,18.6K
ECP,0.53,,₱0.229,,,₱585M,17.01,,,N/A (),,5.32K
EEI,0.46,,-₱0.09,,,₱5.63B,,,,N/A (),,1.9M
EG,0.26,,₱0.000,,,₱282M,,,,N/A (),,
ELI,0.24,,₱0.049,,,₱2.69B,3.73,,,N/A (),,365.69K
EMI,0.26,1.92%,₱0.64,26-Apr-18,₱0.15,₱328.11B,32.58,,15.74B,N/A (),,2.56M
ENEX,0.61,,-₱0.30,,,₱2.74B,,,,N/A (),,35.5K
EURO,0.55,2.35%,₱0.049,28-Oct-22,₱0.020,₱3.45B,17.49,,,N/A (),,13.78K
EVER,0.46,,₱0.429,,,₱1.15B,0.53,,,N/A (),,1.47M
EW,0.6,5.71%,₱2.06,09-May-23,₱0.41,₱15.77B,3.49,,,N/A (),,191.19K
FAF,0.12,,-₱0.392,,,₱694.81M,,,,N/A (),,3.86K
FB,0.4,3.96%,₱3.68,19-May-23,₱0.40,₱280.1B,12.77,,,N/A (),,233.31K
FCG,0.82,,,,,,,,5.47B,N/A (),,56.6M
FDC,0.41,1.13%,₱0.65,17-May-23,₱0.07,₱49.99B,8.85,,,N/A (),,42.76K
FERRO,0.26,,₱0.006,,,₱712.16M,426.98,,,N/A (),,76.29K
FEU,0.07,5.18%,₱68.19,29-Sep-22,₱14.00,₱12.95B,7.93,,,N/A (),,108.77
FFI,0.07,5.18%,₱68.19,29-Sep-22,₱14.00,₱12.95B,7.93,,,N/A (),,108.77
FGEN,0.5,4.28%,₱4.40,02-Dec-20,₱0.28,₱62.44B,4.09,,3.6B,N/A (),,268.15K
FILRT,0.08,6.98%,₱0.27,28-Feb-23,₱0.07,₱25.49B,19.49,,4.89B,N/A (),,624.83K
FJP,-0.34,7.21%,₱0.052,07-Jul-22,₱0.050,₱764.42M,39.77,,,N/A (),,107.69
FLI,0.5,4.86%,₱0.119,11-Nov-20,₱0.026,₱17.7B,6.21,,,N/A (),,8.01M
FMETF,0.5,4.86%,₱0.119,11-Nov-20,₱0.026,₱17.7B,6.21,,,N/A (),,8.01M
FNI,0.72,,₱0.370,,,₱11.79B,6.09,,5.24B,N/A (),,3.75M
FOOD,0.21,,-₱0.079,,,₱1.37B,,,,N/A (),,98.09K
FPH,0.32,3.43%,₱26.34,17-May-23,₱1.10,₱30.15B,2.44,,472.62M,N/A (),,37.18K
FPI,0.06,,₱0.003,,,₱422.96M,92,,,N/A (),,39.38K
FRUIT,0.66,,₱0.036,,,₱2.54B,33.7,,,N/A (),,1.88M
FYN,,,-₱0.439,,,,,,,N/A (),,
GEO,0.13,,₱-0.001,,,₱633.5M,,,,N/A (),,3.47M
GERI,0.48,,₱0.171,,,₱9.56B,5.08,,,N/A (),,149.92K
GLO,0.61,6.00%,₱192.05,15-May-23,₱25.00,₱246.34B,8.86,,144.06M,N/A (),,167.47K
GMA7,0.3,20.96%,₱0.81,18-Apr-23,₱1.10,₱33.03B,11.8,,3.36B,N/A (),,720.14K
GMAP,0.3,20.96%,₱0.81,18-Apr-23,₱1.10,₱33.03B,11.8,,3.36B,N/A (),,720.14K
GPH,0.08,,-₱0.33,,,₱596.26M,,,,N/A (),,575.38
GREEN,0.73,,-₱0.009,,,₱3.02B,,,2.6B,N/A (),,12.29M
GSMI,0.18,5.42%,₱19.84,16-Aug-21,₱1.00,₱41.2B,7.2,,,N/A (),,70.3K
GTCAP,0.95,0.63%,₱82.57,29-Mar-23,₱3.00,₱101.18B,5.75,,,N/A (),,166.84K
HI,0.21,0.00%,₱1.127,12-Aug-19,₱0.065,₱3.73B,4.26,,,N/A (),,78.18K
HLCM,0.35,0.00%,₱0.136,11-Jun-21,₱0.430,₱25.49B,28.58,,,N/A (),,128.74K
HOME,0.7,4.28%,₱0.249,24-Nov-21,₱0.053,₱6.79B,7.23,,,N/A (),,6.77M
HOUSE,0.06,,₱1.41,,,₱50.14B,6.59,,5.39B,N/A (),,13.68K
HTI,0.35,,₱0.055,,,₱2.43B,17.36,,2.5B,N/A (),,331.29K
HVN,0.11,,₱2.49,,,₱517.23B,320.71,,,N/A (),,4.04K
I,0,,-₱0.647,,,₱483.19M,,,,N/A (),,8.32K
ICT,0.99,5.00%,₱16.29,25-Mar-21,₱2.37,₱410.95B,12.28,,2.03B,N/A (),,1.31M
IDC,0.89,,₱0.038,,,₱459.59M,18.77,,629.57M,N/A (),,290.02K
IMI,0.57,0.00%,-₱0.14,22-Apr-19,₱0.11,₱11.22B,,,,N/A (),,123.43K
IMP,0.11,,-₱0.006,,,₱482.85M,,,,N/A (),,8.29K
